dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.054247,1.135981,2.338243,2.898415,1.522723,-0.791552,0.547718
0.020000,2.104411,1.166216,2.396814,2.928554,1.506949,-0.788713,0.537004
0.020000,2.155422,1.196194,2.455982,2.958389,1.491774,-0.758763,0.525494
0.020000,2.207300,1.225855,2.515740,2.987936,1.477343,-0.721526,0.513167
0.020000,2.260064,1.255137,2.576085,3.017213,1.463833,-0.675540,0.500000
0.020000,2.313732,1.283974,2.637010,3.046247,1.451690,-0.607108,0.485975
0.020000,2.368324,1.312297,2.698511,3.075071,1.441195,-0.524752,0.471074
0.020000,2.423856,1.340035,2.760586,3.103726,1.432781,-0.420730,0.455284
0.020000,2.480347,1.367114,2.823231,3.132262,1.426764,-0.300846,0.438595
0.020000,2.537810,1.393458,2.886446,3.160740,1.423943,-0.141044,0.421003
0.020000,2.596262,1.418990,2.950230,3.189225,1.424251,0.015403,0.402508
0.020000,2.655715,1.443628,3.014586,3.217799,1.428663,0.220590,0.383118
0.020000,2.716008,1.467226,3.079333,3.237337,0.976900,-22.588154,0.362905
0.020000,2.776801,1.489591,3.144109,3.238828,0.074552,-45.117371,0.342016
0.020000,2.837920,1.510617,3.208743,3.231693,-0.356725,-21.563881,0.320556
0.020000,2.899357,1.530271,3.273248,3.225232,-0.323049,1.683812,0.298580
0.020000,2.961106,1.548523,3.337638,3.219495,-0.286857,1.809598,0.276145
0.020000,3.023157,1.565346,3.401929,3.214540,-0.247781,1.953827,0.253314
0.020000,3.085498,1.580719,3.466137,3.210409,-0.206505,2.063788,0.230153
0.020000,3.148116,1.594620,3.530279,3.207134,-0.163754,2.137542,0.206729
0.020000,3.210996,1.607035,3.594374,3.204718,-0.120803,2.147522,0.183113
0.020000,3.274123,1.617953,3.658438,3.203200,-0.075932,2.243582,0.159375
0.020000,3.337479,1.627365,3.722489,3.202559,-0.032048,2.194171,0.135586
0.020000,3.393331,1.634393,3.778781,2.814605,-19.397679,-968.281521,0.116294
0.020000,3.466310,1.643437,3.852319,3.676890,43.114227,3125.595283,0.130448
0.020000,3.539421,1.653589,3.926131,3.690609,0.685965,-2121.413101,0.145698
0.020000,3.612660,1.664946,4.000246,3.705745,0.756793,3.541397,0.162174
0.020000,3.686039,1.677616,4.074711,3.723240,0.874774,5.899080,0.180030
0.020000,3.759549,1.691724,4.149562,3.742544,0.965181,4.520346,0.199441
0.020000,3.833189,1.707410,4.224854,3.764611,1.103335,6.907689,0.220613
0.020000,3.906946,1.724838,4.300642,3.789422,1.240568,6.861673,0.243781
0.020000,3.980811,1.744197,4.377002,3.817960,1.426897,9.316438,0.269227
0.020000,4.054758,1.765704,4.454013,3.850557,1.629869,10.148594,0.297272
0.020000,4.128742,1.789611,4.531764,3.887543,1.849260,10.969539,0.328288
0.020000,4.202704,1.816210,4.610363,3.929979,2.121843,13.629168,0.362708
0.020000,4.276555,1.845841,4.689937,3.978703,2.436177,15.716664,0.401022
0.020000,4.350156,1.878891,4.770618,4.034039,2.766817,16.532015,0.443773
0.020000,4.423309,1.915800,4.852554,4.096811,3.138590,18.588637,0.491550
0.020000,4.495721,1.957053,4.935893,4.166955,3.507221,18.431595,0.544947
0.020000,4.566983,2.003161,5.020771,4.243867,3.845582,16.918041,0.604509
0.020000,4.636524,2.054627,5.107285,4.325743,4.093781,12.409952,0.670633
0.020000,4.703592,2.111878,5.195465,4.408988,4.162241,3.422966,0.743428
0.020000,4.767235,2.175165,5.285218,4.487660,3.933633,-11.430362,0.822540
0.020000,4.826356,2.244462,5.376309,4.554515,3.342742,-29.544557,0.907009
0.020000,4.879810,2.319359,5.468324,4.600779,2.313182,-51.478025,0.995190
0.020000,4.926577,2.399035,5.560711,4.619358,0.928982,-69.210002,1.084865
0.020000,4.965943,2.482337,5.652847,4.606781,-0.628842,-77.891180,1.173529
0.020000,4.997618,2.567953,5.744134,4.564357,-2.121214,-74.618588,1.258790
0.020000,5.021755,2.654613,5.834093,4.497948,-3.320463,-59.962464,1.338722
0.020000,5.038863,2.741256,5.922409,4.415793,-4.107742,-39.363932,1.412066
0.020000,5.049664,2.827103,6.008932,4.326167,-4.481283,-18.677079,1.478222
0.020000,5.054966,2.911650,6.093646,4.235683,-4.524242,-2.147959,1.537127
0.020000,5.055565,2.994628,6.176626,4.149013,-4.333477,9.538245,1.589086
0.020000,5.052190,3.075931,6.257998,4.068607,-4.020306,15.658548,1.634603
0.020000,5.045482,3.155560,6.337910,3.995598,-3.650461,18.492289,1.674270
0.020000,5.035990,3.233585,6.416511,3.930006,-3.279583,18.543886,1.708687
0.020000,5.024183,3.310110,6.493940,3.871489,-2.925865,17.685888,1.738418
0.020000,5.010455,3.385251,6.570326,3.819267,-2.611098,15.738336,1.763967
0.020000,4.995144,3.459132,6.645776,3.772524,-2.337127,13.698558,1.785774
0.020000,4.978538,3.531870,6.720385,3.730454,-2.103517,11.680538,1.804214
0.020000,4.960889,3.603575,6.794231,3.692296,-1.907902,9.780737,1.819601
0.020000,4.942416,3.674351,6.867378,3.657359,-1.746844,8.052899,1.832192
0.020000,4.923315,3.744290,6.939878,3.624998,-1.618056,6.439392,1.842192
0.020000,4.903767,3.813474,7.011771,3.594653,-1.517223,5.041638,1.849765
0.020000,4.883936,3.881978,7.083088,3.565813,-1.442005,3.760903,1.855030
0.020000,4.863978,3.949865,7.153848,3.538003,-1.390521,2.574218,1.858069
0.020000,4.844042,4.017191,7.224063,3.510783,-1.360981,1.477002,1.858932
0.020000,4.824274,4.084003,7.293738,3.483734,-1.352452,0.426427,1.857630
0.020000,4.804820,4.150337,7.362867,3.456427,-1.365379,-0.646362,1.854144
0.020000,4.785826,4.216223,7.431435,3.428435,-1.399563,-1.709191,1.848420
0.020000,4.767443,4.281677,7.499422,3.399322,-1.455645,-2.804101,1.840366
0.020000,4.749828,4.346705,7.566794,3.368598,-1.536204,-4.027926,1.829855
0.020000,4.733146,4.411301,7.633508,3.335741,-1.642850,-5.332311,1.816716
0.020000,4.717573,4.475441,7.699512,3.300189,-1.777603,-6.737630,1.800733
0.020000,4.703296,4.539084,7.764737,3.261256,-1.946652,-8.452464,1.781637
0.020000,4.690514,4.602168,7.829103,3.218269,-2.149357,-10.135262,1.759103
0.020000,4.679443,4.664602,7.892511,3.170419,-2.392528,-12.158557,1.732745
0.020000,4.670309,4.726268,7.954849,3.116915,-2.675180,-14.132567,1.702107
0.020000,4.663350,4.787009,8.015988,3.056915,-2.999989,-16.240459,1.666673
0.020000,4.658808,4.846631,8.075783,2.989737,-3.358929,-17.947020,1.625869
0.020000,4.656925,4.904901,8.134083,2.915026,-3.735531,-18.830103,1.579092
0.020000,4.657926,4.961553,8.190744,2.833039,-4.099354,-18.191158,1.525762
0.020000,4.662009,5.016302,8.245645,2.745059,-4.398997,-14.982109,1.465402
0.020000,4.669333,5.068876,8.298727,2.654091,-4.548403,-7.470340,1.397769
0.020000,4.680008,5.119054,8.350028,2.565048,-4.452157,4.812328,1.323021
0.020000,4.694109,5.166714,8.399730,2.485091,-3.997842,22.715755,1.241884
0.020000,4.711698,5.211862,8.448183,2.422682,-3.120463,43.868929,1.155759
0.020000,4.732853,5.254632,8.495899,2.385800,-1.844064,63.819940,1.066687
0.020000,4.757687,5.295229,8.543490,2.379535,-0.313279,76.539259,0.977117
0.020000,4.786322,5.333861,8.591577,2.404331,1.239831,77.655507,0.889523
