dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.904602,1.628732,2.439003,3.246121,2.485220,0.758881,0.525494
0.020000,1.961831,1.661452,2.504925,3.296115,2.499698,0.723923,0.513167
0.020000,2.020351,1.693928,2.571853,3.346377,2.513094,0.669813,0.500000
0.020000,2.080197,1.726084,2.639790,3.396881,2.525241,0.607355,0.485975
0.020000,2.141402,1.757837,2.708742,3.447595,2.535698,0.522829,0.471074
0.020000,2.203998,1.789103,2.778712,3.498478,2.544110,0.420619,0.455284
0.020000,2.268013,1.819789,2.849701,3.549476,2.549918,0.290382,0.438595
0.020000,2.333472,1.849798,2.921712,3.600537,2.553044,0.156317,0.421003
0.020000,2.400399,1.879030,2.994744,3.651585,2.552392,-0.032595,0.402508
0.020000,2.468808,1.907380,3.068795,3.702546,2.548041,-0.217583,0.383118
0.020000,2.538512,1.934661,3.143648,3.742659,2.005650,-27.119538,0.362905
0.020000,2.609108,1.960631,3.218869,3.761044,0.919297,-54.317633,0.342016
0.020000,2.680373,1.985147,3.294232,3.768170,0.356287,-28.150533,0.320556
0.020000,2.752276,2.008148,3.369725,3.774628,0.322865,-1.671073,0.298580
0.020000,2.824782,2.029580,3.445332,3.780351,0.286176,-1.834481,0.276145
0.020000,2.897850,2.049390,3.521038,3.785299,0.247384,-1.939593,0.253314
0.020000,2.971434,2.067534,3.596826,3.789431,0.206614,-2.038491,0.230153
0.020000,3.045486,2.083974,3.672681,3.792713,0.164105,-2.125437,0.206729
0.020000,3.119950,2.098676,3.748583,3.795105,0.119573,-2.226614,0.183113
0.020000,3.194772,2.111616,3.824515,3.796632,0.076373,-2.159997,0.159375
0.020000,3.269893,2.122776,3.900461,3.797280,0.032420,-2.197658,0.135586
0.020000,3.335315,2.131016,3.966399,3.296907,-25.018682,-1252.555101,0.116294
0.020000,3.401271,2.139189,4.032860,3.323039,1.306623,1316.265268,0.130448
0.020000,3.466829,2.148292,4.099047,3.309364,-0.683773,-99.519800,0.145698
0.020000,3.531928,2.158385,4.164924,3.293845,-0.775915,-4.607117,0.162174
0.020000,3.596510,2.169535,4.230461,3.276837,-0.850449,-3.726674,0.180030
0.020000,3.660488,2.181812,4.295606,3.257277,-0.977980,-6.376591,0.199441
0.020000,3.723775,2.195292,4.360313,3.235336,-1.097045,-5.953218,0.220613
0.020000,3.786259,2.210054,4.424517,3.210216,-1.255989,-7.947202,0.243781
0.020000,3.847818,2.226185,4.488154,3.181846,-1.418488,-8.124943,0.269227
